TEMPORADA        DIVISIÓN  JORNADA   LOCAL      VISITANTE      GOL LOC   GOL VISIT  
1972-1973           1ª             31 Real Madri  Ath. Bilbao    3-3       3-3      
1972-1973           1ª             31 Betis       Real Sociedad  1-1       1-1      
1972-1973           1ª             31 Oviedo      Málaga (C.D.)  0-0       0-0      
1972-1973           1ª             31 Valencia    Celta          1-0       1-0      
1972-1973           1ª             31 Dptivo. Co  Castellón      1-1       1-1      
1972-1973           1ª             31 Zaragoza    Sporting Gijó  3-1       3-1      
1972-1973           1ª             31 Granada     Las Palmas     1-0       1-0      
1972-1973           1ª             31 Barcelona   At. Madrid     0-0       0-0      
1972-1973           1ª             32 Ath. Bilba  Espanyol       1-0       1-0      
1972-1973           1ª             32 Real Socie  Real Madrid    1-1       1-1      
1972-1973           1ª             32 Málaga (C.  Betis          0-0       0-0      
1972-1973           1ª             32 Celta       Oviedo         4-2       4-2      
1972-1973           1ª             32 Castellón   Valencia       1-3       1-3      
1972-1973           1ª             32 Sporting G  Dptivo. Coruñ  0-0       0-0      
1972-1973           1ª             32 Las Palmas  Zaragoza       1-1       1-1      
1972-1973           1ª             32 At. Madrid  Granada        2-1       2-1      
1972-1973           1ª             32 Barcelona   Burgos         2-0       2-0      
1972-1973           1ª             33 Ath. Bilba  Burgos         4-0       4-0      
1972-1973           1ª             33 Espanyol    Real Sociedad  1-1       1-1      
1972-1973           1ª             33 Real Madri  Málaga (C.D.)  2-0       2-0      
1972-1973           1ª             33 Betis       Celta          1-0       1-0      
1972-1973           1ª             33 Oviedo      Castellón      0-0       0-0      
1972-1973           1ª             33 Valencia    Sporting Gijó  1-0       1-0      
1972-1973           1ª             33 Dptivo. Co  Las Palmas     2-2       2-2      
1972-1973           1ª             33 Zaragoza    At. Madrid     1-1       1-1      
1972-1973           1ª             33 Granada     Barcelona      0-2       0-2      
1972-1973           1ª             34 Real Socie  Ath. Bilbao    1-0       1-0      
1972-1973           1ª             34 Málaga (C.  Espanyol       0-1       0-1      
1972-1973           1ª             34 Celta       Real Madrid    3-0       3-0      
1972-1973           1ª             34 Castellón   Betis          3-1       3-1      
1972-1973           1ª             34 Sporting G  Oviedo         1-0       1-0      
1972-1973           1ª             34 Las Palmas  Valencia       1-0       1-0      
1972-1973           1ª             34 At. Madrid  Dptivo. Coruñ  3-1       3-1      
1972-1973           1ª             34 Barcelona   Zaragoza       1-1       1-1      
1972-1973           1ª             34 Burgos      Granada        2-1       2-1      
1972-1973           2ª              1 Mallorca    Rayo Vallecan  2-1       2-1      
1972-1973           2ª              1 Barakaldo   Pontevedra     3-0       3-0      
1972-1973           2ª              1 Sant Andre  Gimn. Tarrago  1-2       1-2      
1972-1973           2ª              1 Elche       Cult. Leonesa  3-2       3-2      
1972-1973           2ª              1 Sevilla     Tenerife       3-0       3-0      
1972-1973           2ª              1 Valladolid  Hércules       1-1       1-1      
1972-1973           2ª              1 Valencia B  Murcia         0-0       0-0      
1972-1973           2ª              1 Cádiz       Sabadell       3-1       3-1      
1972-1973           2ª              1 Córdoba     Logroñés       2-1       2-1      
1972-1973           2ª              1 Osasuna     Rac. Santande  0-1       0-1      
1972-1973           2ª              2 Rayo Valle  Osasuna        7-0       7-0      
